ID,Emissions per kilogram,Emissions per 1000 kilocalories,Emissions per 100 grams of protein,Emissions per 100 grams of fat,Land use per kilogram,Land use per 1000 kilocalories,Land use per 100 grams of protein,Land use per 100 grams of fat,Eutrophication per kilogram,Eutrophication per 1000 kilocalories,Eutrophication per 100 grams of protein,Eutrophication per 100 grams of fat,Water scarcity per kilogram,Water scarcity per 1000 kilocalories,Water scarcity per 100 grams of protein,Water scarcity per 100 grams of fat,Water withdrawals per kilogram,Water withdrawals per 1000 kilocalories,Water withdrawals per 100 grams of protein,Water withdrawals per 100 grams of fat,biodiversity_kg,biodiversity_1000kcal,biodiversity_100gprotein,biodiversity_100gfat
30,19.13958143,5.702704381,10.60964906,6.686894435,22.45438837,6.681748455,12.4495953,7.827718033,64.2711032,19.13715837,35.61270189,22.43541228,36540.89868,10868.7675,20283.50398,12730.73537,1765.548573,525.0151142,979.1953352,614.8744024,1232.386677,366.3098842,683.4346119,428.6840096
31,0.897401521,2.690971954,3.026363569,20.26207576,1.003502265,3.074312467,3.371838616,22.21069864,5.100618483,14.90245752,17.28360881,117.9252309,15385.28632,49658.75533,51180.45347,322882.7575,224.9042009,704.7861237,752.4459542,4867.392997,10.56074257,34.03117778,35.15225818,222.0624285
32,3.324503183,1.165393144,47.81615088,1.414657421,3.619796747,1.250473726,53.34214154,1.500628278,10.51202006,3.650213006,153.5919917,4.416498843,6142.515252,2150.258941,89685.64584,2575.194391,271.5578884,96.55754974,3912.354948,116.9321554,167.982821,57.61039181,2466.825367,69.04693149
33,0.890284071,3.048956288,4.765884009,23.6596632,0.802702325,2.749644369,4.301834425,21.31872593,6.198975268,21.22937367,33.15408291,164.9800352,4601.95817,15761.8019,24582.03727,122417.5664,131.3118253,449.6066032,703.152771,3485.93913,3.360177574,11.50991461,17.96535012,89.28549779
34,2.079189343,1.4961306,6.448219923,1.890669604,2.751076023,2.007637199,8.636540231,2.53819831,7.29973604,5.229346042,22.08021589,6.612197366,10911.91153,8148.63236,35263.01858,10311.12991,305.7663358,222.9834822,953.0667008,281.7481277,88.85968911,65.02641074,283.1417167,82.20437056
35,16.28143046,5.171893306,10.08493147,6.731054294,19.04435738,5.992492099,11.66342251,7.744434961,55.35831802,17.4874487,34.02677315,22.67218438,31867.99088,10104.69954,19583.28671,13079.80076,1529.719842,483.9803147,941.7514327,625.2490265,1035.333704,322.423723,627.4041555,412.9648221
36,2.010722007,0.643883766,4.554509085,1.421485178,2.7843686,0.86070575,6.360088996,1.886942905,9.993259127,3.046731051,23.25671282,6.698021722,9749.652841,2857.974936,23070.8024,6252.271584,516.9922559,151.3920565,1234.984852,332.0195941,92.21142044,30.38602526,203.9414058,67.07570417
37,0.935163376,2.333618071,11.9995337,22.4629378,1.601823487,4.012169393,20.92524077,38.89494468,5.891146026,14.66759144,76.51851405,142.4493764,771.322774,2399.723837,3773.657933,11866.37211,14.92984817,42.84397551,102.8263571,265.5807469,2.833339492,7.536260171,31.63913435,63.5302351
38,2.087644251,0.373329114,1.196200727,0.624607448,11.72088162,2.052833161,6.789955119,2.730990573,19.29323346,3.38734574,11.31847908,4.72406331,163311.3154,28334.14108,102121.6117,34781.0258,3504.343642,610.5471307,2147.024718,781.4405155,259.7564814,45.23314663,152.2717201,56.30585088
39,0.891726245,2.595492477,3.564387657,20.87490338,0.788343706,2.279500718,3.131152531,18.52231648,5.936602212,17.27505362,23.424405,143.5453696,5347.111227,15631.52099,22094.30011,115391.388,136.93994,400.1072083,553.5520005,3136.755059,3.736590806,10.60832349,15.12599824,80.86212062
40,2.853384164,0.729472049,4.124268334,2.124840123,5.560588326,1.369484067,7.421705583,3.667010686,13.80581667,3.453281311,19.64689546,9.777549078,27611.28942,6389.844902,27637.9675,14292.05345,843.3729397,200.0664715,969.4123218,505.6793037,337.8495774,85.40177818,494.6737928,221.0748964
41,20.74904454,5.406193335,8.721144037,6.693239153,24.45103712,6.353025569,11.78391503,7.83001591,70.27357377,18.26215644,30.37783408,22.53218729,40220.71079,10459.21306,17879.87127,12913.81244,1939.913257,503.8425673,858.1629354,621.0021863,1337.911151,346.3850775,583.103022,425.3649025
42,2.369301844,0.699429479,5.227403366,1.173479848,2.5869832,0.764634522,5.731916878,1.28229739,10.01922703,2.968134302,22.3726662,4.973430943,9076.589122,2682.377038,20100.76988,4498.604666,460.784719,136.6615651,1032.948041,228.8950168,94.59679887,27.97768438,210.0505059,46.90788135
43,2.26636,12.17343035,31.03452822,81.39739821,0.930353077,4.845475021,12.59377632,32.92550498,6.075514615,32.54935458,83.07805735,218.2571889,7488.009862,29391.25172,92308.44478,232350.6373,318.5652815,1599.887344,4255.945676,11077.04487,7.743123077,34.39544035,99.15351991,254.5131948
